,0,1
0,0.0,1.0
1,2.0,3.0
2,4.0,5.0
3,6.0,7.0
4,8.0,9.0
5,10.0,11.0
6,12.0,13.0
7,14.0,15.0
8,16.0,17.0
9,18.0,19.0
10,20.0,21.0
11,22.0,23.0
12,24.0,25.0
13,26.0,27.0
14,28.0,29.0
15,30.0,31.0
16,32.0,33.0
17,34.0,35.0
18,36.0,37.0
19,38.0,39.0
20,40.0,41.0
21,42.0,43.0
22,44.0,45.0
23,46.0,47.0
24,48.0,49.0
25,50.0,51.0
26,52.0,53.0
27,54.0,55.0
28,56.0,57.0
29,58.0,59.0
30,60.0,61.0
31,62.0,63.0
32,64.0,65.0
33,66.0,67.0
34,68.0,69.0
35,70.0,71.0
36,72.0,73.0
37,74.0,75.0
38,76.0,77.0
39,78.0,79.0
40,80.0,81.0
41,82.0,83.0
42,84.0,85.0
43,0.0,0.0
44,0.0,0.0
45,90.0,91.0
46,92.0,93.0
47,94.0,95.0
48,96.0,97.0
49,98.0,99.0
50,100.0,101.0
51,102.0,103.0
52,104.0,105.0
53,106.0,107.0
54,108.0,109.0
55,110.0,111.0
56,112.0,113.0
57,114.0,115.0
58,116.0,117.0
59,118.0,119.0
60,120.0,121.0
61,122.0,123.0
62,124.0,125.0
63,126.0,127.0
64,128.0,129.0
65,130.0,131.0
66,132.0,133.0
67,0.0,0.0
68,0.0,0.0
69,138.0,139.0
70,140.0,141.0
71,142.0,143.0
72,144.0,145.0
73,146.0,147.0
74,148.0,149.0
75,150.0,151.0
76,152.0,153.0
77,154.0,155.0
78,156.0,157.0
79,158.0,159.0
80,160.0,161.0
81,162.0,163.0
82,164.0,165.0
83,166.0,167.0
84,168.0,169.0
85,170.0,171.0
86,172.0,173.0
87,174.0,175.0
88,176.0,177.0
89,178.0,179.0
90,180.0,181.0
91,182.0,183.0
92,184.0,185.0
93,186.0,187.0
94,188.0,189.0
95,190.0,191.0
96,192.0,193.0
97,194.0,195.0
98,196.0,197.0
99,198.0,199.0
100,200.0,201.0
101,202.0,203.0
102,204.0,205.0
