,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,accuracy
1,9.0,26.0,28.0,20.0,19.0,20.0,20.0,20.0,23.0,20.0,23.0,23.0,25.0,9.0,20.0,20.0,29.0,29.0,20.0,26.0,0.0,25.0,23.0,9.0,29.0,25.0,27.0,7.0,14.0,8.0,20.0,9.0,12.0,29.0,23.0,25.0,17.0,25.0,20.0,28.0,25.0,14.0,14.0,29.0,23.0,25.0,25.0,25.0,10.0,0.20833333333333334
2,18.0,25.0,28.0,20.0,19.0,20.0,20.0,20.0,9.0,26.0,28.0,25.0,29.0,25.0,20.0,20.0,29.0,23.0,9.0,9.0,20.0,20.0,30.0,23.0,12.0,25.0,7.0,7.0,27.0,8.0,20.0,9.0,9.0,29.0,23.0,29.0,14.0,20.0,20.0,23.0,29.0,15.0,25.0,29.0,9.0,29.0,29.0,25.0,30.0,0.20408163265306123
3,9.0,9.0,19.0,20.0,19.0,25.0,9.0,19.0,20.0,22.0,12.0,29.0,25.0,29.0,25.0,29.0,29.0,25.0,23.0,19.0,29.0,29.0,10.0,24.0,25.0,25.0,8.0,8.0,14.0,7.0,12.0,23.0,29.0,23.0,29.0,23.0,17.0,14.0,29.0,9.0,9.0,19.0,14.0,25.0,14.0,14.0,12.0,25.0,23.0,0.14285714285714285
4,9.0,23.0,22.0,14.0,9.0,20.0,23.0,9.0,23.0,23.0,9.0,29.0,29.0,29.0,23.0,20.0,25.0,25.0,23.0,19.0,25.0,25.0,30.0,24.0,12.0,14.0,8.0,25.0,8.0,7.0,28.0,9.0,29.0,29.0,25.0,25.0,6.0,29.0,29.0,29.0,22.0,6.0,25.0,29.0,14.0,14.0,14.0,14.0,30.0,0.12244897959183673
5,15.0,29.0,20.0,25.0,19.0,20.0,20.0,19.0,23.0,28.0,22.0,29.0,25.0,29.0,14.0,29.0,29.0,29.0,9.0,20.0,29.0,29.0,13.0,24.0,14.0,29.0,7.0,7.0,8.0,8.0,20.0,29.0,23.0,23.0,29.0,25.0,8.0,20.0,29.0,29.0,28.0,14.0,14.0,29.0,14.0,12.0,20.0,14.0,14.0,0.24489795918367346
6,23.0,18.0,20.0,18.0,20.0,25.0,18.0,20.0,18.0,29.0,18.0,18.0,29.0,18.0,9.0,19.0,25.0,20.0,20.0,19.0,25.0,25.0,10.0,18.0,29.0,29.0,7.0,25.0,7.0,8.0,20.0,28.0,29.0,26.0,26.0,29.0,17.0,26.0,29.0,9.0,12.0,14.0,25.0,29.0,9.0,20.0,25.0,14.0,29.0,0.08163265306122448
7,18.0,28.0,22.0,14.0,19.0,12.0,20.0,12.0,29.0,29.0,26.0,19.0,29.0,25.0,12.0,25.0,29.0,29.0,9.0,20.0,25.0,25.0,10.0,26.0,12.0,25.0,8.0,8.0,8.0,7.0,20.0,9.0,29.0,25.0,10.0,12.0,15.0,20.0,20.0,12.0,10.0,25.0,25.0,15.0,20.0,14.0,17.0,14.0,30.0,0.16326530612244897
8,28.0,18.0,22.0,18.0,19.0,20.0,18.0,20.0,18.0,12.0,18.0,23.0,18.0,23.0,18.0,18.0,18.0,18.0,18.0,18.0,25.0,25.0,30.0,18.0,25.0,29.0,25.0,7.0,8.0,25.0,29.0,29.0,12.0,29.0,23.0,29.0,27.0,25.0,25.0,12.0,26.0,15.0,14.0,25.0,15.0,14.0,14.0,25.0,30.0,0.16326530612244897
9,23.0,25.0,20.0,20.0,25.0,20.0,25.0,25.0,9.0,28.0,28.0,25.0,25.0,23.0,26.0,25.0,26.0,26.0,20.0,9.0,20.0,23.0,24.0,13.0,25.0,25.0,8.0,14.0,8.0,17.0,23.0,23.0,9.0,23.0,9.0,23.0,8.0,29.0,14.0,23.0,25.0,6.0,14.0,26.0,20.0,29.0,12.0,25.0,30.0,0.12244897959183673
10,19.0,23.0,19.0,20.0,19.0,20.0,23.0,26.0,28.0,23.0,23.0,23.0,23.0,26.0,20.0,25.0,14.0,9.0,28.0,9.0,20.0,20.0,30.0,23.0,25.0,25.0,8.0,7.0,27.0,7.0,23.0,23.0,20.0,25.0,12.0,23.0,17.0,20.0,26.0,23.0,23.0,29.0,25.0,29.0,9.0,25.0,25.0,14.0,30.0,0.16326530612244897
