Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-14', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=14)
Using GPU : 0 from 1 devices
Train 0, loss: 3.628599, train acc: 0.045191, train avg acc: 0.045191
Test 0, loss: 3.450094, test acc: 0.044203, test avg acc: 0.044203
Train 1, loss: 3.461363, train acc: 0.042185, train avg acc: 0.042185
Test 1, loss: 3.444529, test acc: 0.042029, test avg acc: 0.042029
Train 2, loss: 3.451603, train acc: 0.043947, train avg acc: 0.043947
Test 2, loss: 3.432855, test acc: 0.047464, test avg acc: 0.047464
Train 3, loss: 3.443209, train acc: 0.047989, train avg acc: 0.047989
Test 3, loss: 3.415965, test acc: 0.064855, test avg acc: 0.064855
Train 4, loss: 3.434676, train acc: 0.056385, train avg acc: 0.056385
Test 4, loss: 3.420846, test acc: 0.084058, test avg acc: 0.084058
Train 5, loss: 3.430691, train acc: 0.053275, train avg acc: 0.053275
Test 5, loss: 3.421112, test acc: 0.059420, test avg acc: 0.059420
Train 6, loss: 3.430814, train acc: 0.053275, train avg acc: 0.053275
Test 6, loss: 3.417551, test acc: 0.053261, test avg acc: 0.053261
Train 7, loss: 3.423209, train acc: 0.053068, train avg acc: 0.053068
Test 7, loss: 3.411601, test acc: 0.069565, test avg acc: 0.069565
Train 8, loss: 3.422953, train acc: 0.053379, train avg acc: 0.053379
Test 8, loss: 3.415372, test acc: 0.071014, test avg acc: 0.071014
Train 9, loss: 3.420103, train acc: 0.057629, train avg acc: 0.057629
Test 9, loss: 3.403293, test acc: 0.063043, test avg acc: 0.063043
Train 10, loss: 3.417372, train acc: 0.056592, train avg acc: 0.056592
Test 10, loss: 3.387950, test acc: 0.075725, test avg acc: 0.075725
Train 11, loss: 3.411821, train acc: 0.059598, train avg acc: 0.059598
Test 11, loss: 3.407538, test acc: 0.044928, test avg acc: 0.044928
