Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Train 0, loss: 2.773804, train acc: 0.264393, train avg acc: 0.134671
Test 0, loss: 2.499198, test acc: 0.297778, test avg acc: 0.132872
Train 1, loss: 2.468966, train acc: 0.367152, train avg acc: 0.208032
Test 1, loss: 2.173598, test acc: 0.584659, test avg acc: 0.360707
Train 2, loss: 2.322341, train acc: 0.436198, train avg acc: 0.266243
Test 2, loss: 2.039332, test acc: 0.627240, test avg acc: 0.367572
Train 3, loss: 2.248628, train acc: 0.469102, train avg acc: 0.297198
Test 3, loss: 2.023527, test acc: 0.586380, test avg acc: 0.379545
Train 4, loss: 2.125837, train acc: 0.536212, train avg acc: 0.354490
Test 4, loss: 1.791561, test acc: 0.749104, test avg acc: 0.518746
Train 5, loss: 2.023504, train acc: 0.598606, train avg acc: 0.407666
Test 5, loss: 1.908593, test acc: 0.652760, test avg acc: 0.488030
Train 6, loss: 1.948323, train acc: 0.636895, train avg acc: 0.443394
Test 6, loss: 1.696349, test acc: 0.770609, test avg acc: 0.523401
Train 7, loss: 1.858143, train acc: 0.688415, train avg acc: 0.492997
Test 7, loss: 1.755729, test acc: 0.752975, test avg acc: 0.546293
Train 8, loss: 1.780378, train acc: 0.728674, train avg acc: 0.532899
Test 8, loss: 1.538346, test acc: 0.859355, test avg acc: 0.661239
Train 9, loss: 1.697875, train acc: 0.771432, train avg acc: 0.582417
Test 9, loss: 1.473604, test acc: 0.881434, test avg acc: 0.681661
Train 10, loss: 1.614674, train acc: 0.817180, train avg acc: 0.640057
Test 10, loss: 1.568493, test acc: 0.840287, test avg acc: 0.648100
Train 11, loss: 1.576268, train acc: 0.836993, train avg acc: 0.670088
Test 11, loss: 1.359986, test acc: 0.942366, test avg acc: 0.807266
Train 12, loss: 1.522050, train acc: 0.865393, train avg acc: 0.705834
Test 12, loss: 1.415781, test acc: 0.906237, test avg acc: 0.728814
Train 13, loss: 1.483409, train acc: 0.887563, train avg acc: 0.744313
Test 13, loss: 1.380111, test acc: 0.922151, test avg acc: 0.803241
Train 14, loss: 1.457733, train acc: 0.895517, train avg acc: 0.760749
Test 14, loss: 1.500590, test acc: 0.869964, test avg acc: 0.688914
Train 15, loss: 1.419511, train acc: 0.918110, train avg acc: 0.797064
Test 15, loss: 1.291503, test acc: 0.961720, test avg acc: 0.861655
Train 16, loss: 1.412290, train acc: 0.919447, train avg acc: 0.794347
Test 16, loss: 1.285628, test acc: 0.962724, test avg acc: 0.850384
Train 17, loss: 1.381619, train acc: 0.933171, train avg acc: 0.819474
Test 17, loss: 1.679443, test acc: 0.760000, test avg acc: 0.605242
Train 18, loss: 1.352052, train acc: 0.947354, train avg acc: 0.845460
Test 18, loss: 1.229656, test acc: 0.984659, test avg acc: 0.923819
Train 19, loss: 1.324222, train acc: 0.959776, train avg acc: 0.868563
Test 19, loss: 1.218997, test acc: 0.988530, test avg acc: 0.905112
Train 20, loss: 1.332170, train acc: 0.954181, train avg acc: 0.861629
Test 20, loss: 1.201700, test acc: 0.993692, test avg acc: 0.936362
Train 21, loss: 1.315751, train acc: 0.962099, train avg acc: 0.876029
Test 21, loss: 1.200455, test acc: 0.992975, test avg acc: 0.938843
Train 22, loss: 1.287760, train acc: 0.974768, train avg acc: 0.898154
Test 22, loss: 1.177617, test acc: 0.994265, test avg acc: 0.944433
Train 23, loss: 1.283002, train acc: 0.975120, train avg acc: 0.899312
Test 23, loss: 1.227942, test acc: 0.983799, test avg acc: 0.907760
Train 24, loss: 1.282771, train acc: 0.974627, train avg acc: 0.905402
Test 24, loss: 1.211708, test acc: 0.989821, test avg acc: 0.930322
Train 25, loss: 1.274016, train acc: 0.977935, train avg acc: 0.910175
Test 25, loss: 1.182781, test acc: 0.990394, test avg acc: 0.930562
Train 26, loss: 1.258130, train acc: 0.983354, train avg acc: 0.920894
Test 26, loss: 1.171044, test acc: 0.998566, test avg acc: 0.955808
Train 27, loss: 1.251810, train acc: 0.984832, train avg acc: 0.924450
Test 27, loss: 1.231733, test acc: 0.977061, test avg acc: 0.900280
Train 28, loss: 1.248143, train acc: 0.985994, train avg acc: 0.928182
Test 28, loss: 1.185158, test acc: 0.995412, test avg acc: 0.946280
Train 29, loss: 1.245337, train acc: 0.986803, train avg acc: 0.928992
Test 29, loss: 1.217668, test acc: 0.990538, test avg acc: 0.936093
